brand,name,price,old_price,sizes
Mizuno,Кроссовки мужские Mizuno Wave Rider Tt 3 Dress Blues/Dazzling Blue/Lightning Yellow,16490,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)', '50']"
Asics,Кроссовки детские ASICS Gel-Noosa Tri 16 GS Vital Green/White,9190,,"['37', '39(1/2)', '40']"
Mizuno,Кроссовки Mizuno Wave Rebellion Pro 3 White/Pink Tetra/Tang Orange,16793,23990.0,"['40(1/2)', '43', '44(1/2)', '46']"
New Balance,Кроссовки New Balance 327 Mindful Grey Khaki,17480,,"['38', '38(1/2)', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '45(1/2)', '46(1/2)']"
Salomon,Ботинки женские Salomon Quest 5 Gtx Spellbound/Grisaille/Black,28980,,"['37(1/3)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '42', '42(2/3)']"
Mizuno,Кроссовки женские Mizuno Wave Ibuki 5 Gtx Black/Metallic Gray/QuietShade,9594,,"['38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
Asics,Кроссовки женские ASICS Gt-1000 14 White/Yamabuki,13980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42', '42(1/2)']"
Trezeta,Кроссовки детские Trezeta Thunder WP Jr Blue/Lime,8380,,"['36', '38', '39']"
LOWA,Ботинки мужские Lowa Renegade Evo Gtx Mid Navy/Grey,28980,,"['41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)']"
Kayland,Ботинки мужские Kayland Cross Mountain Gtx Grey/Orange,18450,36900.0,"['42', '42(1/2)', '43', '43(1/2)', '44', '45', '45(1/2)', '46']"
Mizuno,Кроссовки мужские Mizuno Neo Lumina Foliage Green/North Atlantic/Quiet Shade,13490,,"['42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Hoka,Кроссовки мужские Hoka Speedgoat 6 Mid Gtx Truffle Salt/Cement,17136,24480.0,"['42', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)']"
Asics,Кроссовки детские ASICS Gt-1000 14 GS Midnight/Vital Green,8590,,"['33(1/2)', '34(1/2)', '35', '37(1/2)', '40']"
Asics,Кроссовки мужские ASICS Gel-Cumulus 28 Cold Moss/Vital Green,16980,,"['41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48']"
